category,error_code,description,remedy,error_type,description_cleaned,remedy_cleaned
Configuration error - Modbus_Master,16#818A,Invalid length,"Select a suitable data length at the DATA_LEN parameter.
See description Modbus_Master in the Info system",Modbus,Invalid length,Select suitable data length DATALEN parameter See description ModbusMaster Info system
Configuration error - Modbus_Master,16#818B,Invalid value for DATA_PTR,"Select a suitable value for the data pointer at the DATA_PTR parameter (M or DB address).
See description Modbus_Master in the Info system",Modbus,Invalid value DATAPTR,Select suitable value data pointer DATAPTR parameter DB address See description ModbusMaster Info system
Configuration error - Modbus_Master,16#818C,Interconnection error of the DATA_PTR parameter,Check the interconnection of the instruction.,Modbus,Interconnection error DATAPTR parameter,Check interconnection instruction
Configuration error - Modbus_Master,16#818D,"The area addressed by DATA_PTR is longer than the DB, or the area addressed is too small for the number of data bytes to be read or written.",Check the DATA_PTR pointer,Modbus,area addressed DATAPTR longer DB area addressed small number data byte read written,Check DATAPTR pointer
Configuration error - Modbus_Master,16#8280,Negative acknowledgment when reading module,"Check the input at the PORT parameter.
You can find more detailed information on error causes in the static parameters Send_P2P.RDREC.STATUS or Receive_P2P.RDREC.STATUS, and in the description of the SFB RDREC.",Modbus,Negative acknowledgment reading module,Check input PORT parameter find detailed information error cause static parameter SendP2PRDRECSTATUS ReceiveP2PRDRECSTATUS description SFB RDREC
Configuration error - Modbus_Master,16#8281,Negative acknowledgment when writing module,"Check the input at the PORT parameter.
You can find more detailed information on error causes in the static parameters Send_P2P.WRREC.STATUS or Receive_P2P.WRREC.STATUS or Receive_Reset and in the description of the SFB WRREC.",Modbus,Negative acknowledgment writing module,Check input PORT parameter find detailed information error cause static parameter SendP2PWRRECSTATUS ReceiveP2PWRRECSTATUS ReceiveReset description SFB WRREC
Communication errors - Modbus_Master and Modbus_Slave,16#80D1,The waiting time for XON or CTS = ON has expired.,"The communication partner has a fault, is too slow or is offline. Check the communication partner or change the parameters, if necessary.",Modbus,waiting time XON CTS ha expired,communication partner ha fault slow offline Check communication partner change parameter necessary
Communication errors - Modbus_Master and Modbus_Slave,16#80D2,"""Hardware RTS always ON"": Send job canceled due to change from DSR = ON to OFF",Check the communication partner. Make sure that DSR is ON for the entire duration of transmission.,Modbus,Hardware RTS always Send job canceled due change DSR,Check communication partner Make sure DSR entire duration transmission
Communication errors - Modbus_Master and Modbus_Slave,16#80E0,Frame aborted: Send buffer overflow / send frame too long,In the user program call the instruction more often or configure a communication with data flow control.,Modbus,Frame aborted Send buffer overflow send frame long,user program call instruction often configure communication data flow control
Communication errors - Modbus_Master and Modbus_Slave,16#80E1,Frame aborted: Parity error,"Check the connection line of the communication partners, or verify that the same data transmission rate, parity and stop bit number are configured for both devices.",Modbus,Frame aborted Parity error,Check connection line communication partner verify data transmission rate parity stop bit number configured device
Communication errors - Modbus_Master and Modbus_Slave,16#80E2,Frame aborted: Character frame error,"Check the settings for start bit, data bits, parity bit, data transmission rate, and stop bit(s).",Modbus,Frame aborted Character frame error,Check setting start bit data bit parity bit data transmission rate stop bit
Communication errors - Modbus_Master and Modbus_Slave,16#80E3,Frame aborted: Character overflow error,Check the number of data in the frame of the communication partner.,Modbus,Frame aborted Character overflow error,Check number data frame communication partner
