Category,Error Code,Description,Remedy,Error type
Communication errors - Modbus_Master and Modbus_Slave,16#80D2,"""Hardware RTS always ON"": Send job canceled due to change from DSR = ON to OFF",Check the communication partner. Make sure that DSR is ON for the entire duration of transmission.,Modbus
Communication errors - Modbus_Master and Modbus_Slave,16#80E0,Frame aborted: Send buffer overflow / send frame too long,In the user program call the instruction more often or configure a communication with data flow control.,Modbus
Communication errors - Modbus_Master and Modbus_Slave,16#80E1,Frame aborted: Parity error,"Check the connection line of the communication partners, or verify that the same data transmission rate, parity and stop bit number are configured for both devices.",Modbus
Communication errors - Modbus_Master and Modbus_Slave,16#80E2,Frame aborted: Character frame error,"Check the settings for start bit, data bits, parity bit, data transmission rate, and stop bit(s).",Modbus
Communication errors - Modbus_Master and Modbus_Slave,16#80E3,Frame aborted: Character overflow error,Check the number of data in the frame of the communication partner.,Modbus
Communication errors - Modbus_Master and Modbus_Slave,16#80E4,Frame aborted: Maximum frame length reached,"Select a shorter frame length at the communication partner.
The following are valid (depending on the module): 1 to 1024/2048/4096 (bytes)",Modbus
Communication error - Modbus_Master,16#80C8,The slave does not respond within the set time,"Check the data transmission rate, parity and wiring of the slave.",Modbus
Communication error - Modbus_Master,16#80C9,The slave does not respond within the time set by Blocked_Proc_Timeout.,"Check the setting for Blocked_Proc_Timeout.
Check if the module has been configured with the Modbus_Comm_Load instruction. The module may possibly need to be reconfigured using Modbus_Comm_Load after a pull/plug or after voltage recovery.",Modbus
Communication error - Modbus_Master,16#8200,The interface is busy with an ongoing request.,Repeat the command later. Make sure that there are no commands still running before you start a new one.,Modbus
Protocol error - Modbus_Slave (only communication modules that support Modbus),16#8380,CRC error,Checksum error of the Modbus frame. Check the communication partner.,Modbus
Protocol error - Modbus_Slave (only communication modules that support Modbus),16#8381,The function code is not supported or is not supported for broadcast.,Check the communication partner and make sure that a valid function code is sent.,Modbus
Protocol error - Modbus_Slave (only communication modules that support Modbus),16#8382,Invalid length information in the request frame,Select a suitable data length at the DATA_LEN parameter.,Modbus
Protocol error - Modbus_Slave (only communication modules that support Modbus),16#8383,Invalid data address in the request frame,Select a suitable value for the data address at the DATA_ADDR parameter.,Modbus
Protocol error - Modbus_Slave (only communication modules that support Modbus),16#8384,Invalid data value error in the request frame,Check the data value in the request frame of the Modbus master,Modbus
Protocol error - Modbus_Slave (only communication modules that support Modbus),16#8385,The diagnostic value is not supported by the Modbus slave (function code 08),The Modbus slave only supports the diagnostic values 16#0000 and 16#000A.,Modbus
Protocol error - Modbus_Master (only communication modules that support Modbus),16#8380,CRC error,Checksum error of the Modbus frame. Check the communication partner.,Modbus
Protocol error - Modbus_Master (only communication modules that support Modbus),16#8381,Response frame from Modbus Slave with the following error message: The function code is not supported.,Check the communication partner and make sure that a valid function code is sent.,Modbus
Protocol error - Modbus_Master (only communication modules that support Modbus),16#8382,Response frame from Modbus Slave with the following error message: Invalid length,Select a suitable data length.,Modbus
Protocol error - Modbus_Master (only communication modules that support Modbus),16#8383,Response frame from Modbus Slave with the following error message: Invalid data address in the request frame,Select a suitable value for the data address at the DATA_ADDR parameter.,Modbus
Protocol error - Modbus_Master (only communication modules that support Modbus),16#8384,Response frame from Modbus Slave with the following error message: Data value error,Check the request frame to the Modbus slave.,Modbus
Protocol error - Modbus_Master (only communication modules that support Modbus),16#8385,Response frame from Modbus Slave with the following error message: The diagnostic value is not supported by the Modbus slave,The Modbus slave only supports the diagnostic values 16#0000 and 16#000A.,Modbus
Protocol error - Modbus_Master (only communication modules that support Modbus),16#8386,The returned function code does not match the requested function code.,Check the response frame and the addressing of the slave.,Modbus
Protocol error - Modbus_Master (only communication modules that support Modbus),16#8387,A slave that was not requested answers,Check the response frame of the slave. Check the address settings of the slave.,Modbus
Protocol error - Modbus_Master (only communication modules that support Modbus),16#8388,Error in the response of the slave to a write request.,Check the response frame of the slave.,Modbus
Protocol error - Modbus_Master (only communication modules that support Modbus),16#8828 1),DATA_PTR points to a bit address that is not equal to n * 8,Check the DATA_PTR pointer,Modbus
Protocol error - Modbus_Master (only communication modules that support Modbus),16#8852 1),DATA_PTR is not a pointer to a DB or a bit memory area,Check the DATA_PTR pointer,Modbus
Protocol error - Modbus_Master (only communication modules that support Modbus),16#8853 1),DATA_PTR is not a pointer of type BOOL or WORD,Check the DATA_PTR pointer,Modbus
Protocol error - Modbus_Master (only communication modules that support Modbus),16#8855 1),DATA_PTR points to a write-protected DB,Check the DATA_PTR pointer,Modbus
Protocol error - Modbus_Master (only communication modules that support Modbus),16#8856 1),Error during call of SFC51,Call the Modbus_Master instruction again,Modbus
Error - Modbus_Slave (only communication modules that support Modbus),16#8428 1),MB_HOLD_REG points to a bit address that is not equal to n * 8,Check the MB_HOLD_REG pointer,Modbus
Error - Modbus_Slave (only communication modules that support Modbus),16#8452 1),MB_HOLD_REG is not a pointer to a DB or a bit memory area,Check the MB_HOLD_REG pointer,Modbus
Error - Modbus_Slave (only communication modules that support Modbus),16#8453 1),MB_HOLD_REG is not a pointer of type BOOL or WORD,Check the MB_HOLD_REG pointer,Modbus
Error - Modbus_Slave (only communication modules that support Modbus),16#8454 1),"The area addressed by MB_HOLD_REG is longer than the DB, or the area addressed is too small for the number of data bytes to be read or written.",Check the MB_HOLD_REG pointer,Modbus
Error - Modbus_Slave (only communication modules that support Modbus),16#8455 1),MB_HOLD_REG points to a write-protected DB,Check the MB_HOLD_REG pointer,Modbus
Error - Modbus_Slave (only communication modules that support Modbus),16#8456 1),Error during call of SFC51,Call the Modbus_Slave instruction again,Modbus
